id,ts,light_intensity,ambient_temperature,soil_moisture,lat,lon,humidity
198,2025-04-13 04:46:03,0.880005,30.56,48.01,13.8657,100.462,89.0
199,2025-04-13 05:16:03,0.901159,30.5,48.3,13.8657,100.462,89.0
200,2025-04-13 05:46:03,0.986789,30.38,47.67,13.8657,100.462,89.0
201,2025-04-13 06:16:03,53.2873,30.38,48.18,13.8657,100.462,89.0
202,2025-04-13 06:46:03,277.54,30.78,47.89,13.8657,100.462,65.0
203,2025-04-13 07:16:03,395.951,31.22,48.01,13.8657,100.462,84.0
204,2025-04-13 07:46:03,499.454,31.72,48.03,13.8657,100.462,62.0
205,2025-04-13 08:16:03,648.743,32.78,47.74,13.8657,100.462,74.0
206,2025-04-13 08:46:03,947.929,34.16,47.23,13.8657,100.462,52.0
207,2025-04-13 09:16:03,2407.39,35.75,47.11,13.8657,100.462,51.0
208,2025-04-13 09:46:03,3150.75,36.34,55.07,13.8657,100.462,50.0
209,2025-04-13 10:16:03,4532.65,39.03,54.63,13.8657,100.462,58.0
210,2025-04-13 10:46:03,8278.27,40.41,53.53,13.8657,100.462,58.0
211,2025-04-13 11:16:03,4470.99,42.06,25.32,13.8657,100.462,55.0
212,2025-04-13 11:46:03,1734.33,38.72,51.04,13.8657,100.462,55.0
213,2025-04-13 12:16:03,2782.75,37.59,50.5,13.8657,100.462,55.0
214,2025-04-13 12:46:03,2178.3,38.38,49.62,13.8657,100.462,48.0
215,2025-04-13 13:16:02,4131.61,41.12,49.67,13.8657,100.462,47.0
216,2025-04-13 13:46:02,1005.28,38.97,49.52,13.8657,100.462,55.0
217,2025-04-13 14:16:02,4532.65,39.97,49.04,13.8657,100.462,45.0
218,2025-04-13 14:46:02,4295.05,39.34,48.82,13.8657,100.462,45.0
219,2025-04-13 15:16:02,1059.48,35.66,47.62,13.8657,100.462,45.0
220,2025-04-13 15:46:02,2887.18,37.88,47.64,13.8657,100.462,47.0
221,2025-04-13 16:16:02,3182.8,39.12,47.52,13.8657,100.462,52.0
222,2025-04-13 16:46:02,1543.59,37.22,46.74,13.8657,100.462,55.0
223,2025-04-13 17:16:02,1326.55,35.84,45.4,13.8657,100.462,46.0
224,2025-04-13 17:46:02,894.33,35.47,44.71,13.8657,100.462,48.0
225,2025-04-13 18:16:02,184.814,34.47,44.3,13.8657,100.462,46.0
226,2025-04-13 18:46:02,1.95271,33.62,43.98,13.8657,100.462,52.0
227,2025-04-13 19:16:02,1.22225,33.28,44.1,13.8657,100.462,52.0
228,2025-04-13 19:46:02,1.155,33.09,43.76,13.8657,100.462,79.0
229,2025-04-13 20:16:02,1.1368,32.84,44.79,13.8657,100.462,79.0
230,2025-04-13 20:46:02,1.06159,32.84,43.96,13.8657,100.462,79.0
231,2025-04-13 21:16:02,1.05263,32.78,44.08,13.8657,100.462,79.0
232,2025-04-13 21:46:02,0.974455,32.62,44.1,13.8657,100.462,79.0
